,dt,US1.AAPL,US1.AMZN,US1.BAC,US1.BRK.A,US1.DIS,US1.HD,US1.JNJ,US1.JPM,US1.MA,US1.MSFT,US1.NVDA,US1.PG,US1.UNH,US1.V,US1.XOM
0,20100104,214.18,133.88,15.7,99500.0,32.07,28.67,64.7027,42.86,256.43,30.94,18.49,61.12,31.52,88.14,69.13
1,20100105,214.38,134.65,16.19,99810.0,31.99,28.87,63.94,43.69,256.0,30.95,18.76,61.12,31.47,87.1,69.42
2,20100106,210.94,132.3,16.39,99637.5,31.82,28.78,64.44,43.91,255.5,30.77,18.89,60.83,31.8,85.97,70.04
3,20100107,210.58,130.0,16.928,99989.0,31.86,29.13,63.98,44.78,253.78,30.48,18.51,60.54,33.01,86.8,69.79
4,20100108,211.89,133.54,16.77,100075.0,31.87,28.97,64.21,44.67,253.85,30.63,18.56,60.43,32.69,86.97,69.5
5,20100111,210.07,130.34,16.93,99710.0,31.35,28.15,64.23,44.52,249.67,30.28,18.29,60.23,32.92,86.8,70.31
6,20100112,207.73,127.54,16.35,99400.0,30.83,27.98,64.6,43.48,249.79,30.1,17.67,60.89,32.07,86.34,69.92
7,20100113,210.4,129.12,16.64,99272.0,31.3,28.13,65.03,44.26,256.13,30.35,17.91,61.56,32.53,87.085,69.7
8,20100114,209.42,127.4,16.8,99050.0,31.04,28.29,65.1,44.66,260.46,30.97,17.64,61.57,33.31,87.43,69.64
9,20100115,205.9,127.14,16.2624,97550.0,30.59,28.56,64.5,43.67,262.7,30.85,17.11,60.79,33.75,86.15,69.08
10,20100119,215.04,127.54,16.3,100030.0,31.01,28.88,65.38,43.29,264.76,31.1,17.43,61.73,35.12,87.81,69.27
11,20100120,211.83,125.78,16.4899,104050.0,31.2,28.65,65.13,43.4,263.52,30.58,17.35,60.47,34.57,87.42,68.05
12,20100121,208.24,126.59,15.46,108900.0,30.59,28.46,63.91,40.5,258.9,30.06,17.04,59.77,33.05,84.43,66.63
13,20100122,197.76,121.43,14.891,105000.0,29.96,27.71,63.18,39.16,251.69,28.96,16.48,60.31,33.16,82.67,66.04
14,20100125,202.5,120.37,14.99,103085.0,29.91,27.6,63.23,39.18,252.22,29.29,16.74,60.61,33.0,81.94,65.82
15,20100126,205.89,119.48,14.76,102000.0,29.65,27.73,62.77,38.41,248.7,29.5,16.21,60.64,32.45,81.15,65.88
16,20100127,207.97,122.85,15.2,106810.0,29.31,27.83,63.47,39.29,256.02,29.67,16.64,60.8,33.24,83.89,65.46
17,20100128,199.3,125.66,15.38,110900.0,29.37,27.33,63.81,39.49,249.48,29.16,16.11,61.68,33.44,82.65,64.94
18,20100129,192.12,125.26,15.12,114750.0,29.54,28.01,62.83,38.93,249.77,28.14,15.39,61.51,33.0,81.92,64.28
19,20100201,194.705,118.9,15.41,112950.0,29.53,28.38,63.09,39.68,253.57,28.41,16.58,62.0,33.11,83.66,66.18
20,20100202,195.82,118.1,15.6,112960.01,29.97,29.0,64.0,40.52,252.08,28.48,16.74,62.92,34.04,84.0,66.97
21,20100203,199.22,119.15,15.56,111415.0,30.74,28.46,63.63,40.33,247.153,28.63,16.88,62.63,33.3,83.5,66.58
22,20100204,192.0,115.98,14.76,108737.0,29.67,27.94,62.63,38.38,221.8,27.81,15.88,61.36,32.47,82.81,64.69
23,20100205,195.3,117.39,15.02,110239.0,29.55,28.01,62.65,38.35,220.83,28.01,16.22,61.33,32.54,82.52,64.84
24,20100208,194.01,116.78,14.48,111500.0,29.49,28.57,62.37,37.69,226.34,27.72,16.19,60.98,32.42,83.15,64.36
25,20100209,196.19,118.04,14.47,111590.0,29.87,28.86,62.76,38.42,223.75,28.01,16.07,61.76,32.99,83.36,65.19
26,20100210,195.25,117.37,14.67,111596.0,30.06,28.63,62.74,38.85,226.61,27.99,16.37,61.67,32.71,83.59,64.8
27,20100211,198.72,120.03,14.62,114950.0,30.17,28.99,62.89,39.06,228.89,28.12,17.11,61.99,33.14,85.12,65.27
28,20100212,200.6,119.67,14.51,115810.0,30.11,29.0,62.94,39.06,226.14,27.94,17.36,61.91,32.2,84.92,65.1
29,20100216,203.42,117.56,15.19,113995.0,30.5,29.46,63.61,40.05,225.24,28.34,17.67,62.81,31.65,85.85,66.29
30,20100217,202.54,116.3,15.63,114387.2,30.8701,30.01,64.0,40.0,224.75,28.6,17.86,62.89,32.56,86.42,65.75
31,20100218,203.04,118.08,15.88,114900.0,31.01,30.31,64.54,40.4,221.65,28.97,16.67,63.37,32.66,86.88,65.93
32,20100219,201.64,117.5,15.8575,118110.0,31.24,30.14,63.77,40.0101,222.52,28.77,16.58,63.44,31.91,86.744,65.86
33,20100222,200.44,118.01,16.21,119388.0,31.11,30.32,63.48,40.86,224.06,28.73,16.61,63.43,33.09,86.91,65.4
34,20100223,196.98,117.24,15.9499,118542.0,30.91,30.77,63.33,39.88,222.1,28.34,16.22,63.23,32.79,86.21,64.97
35,20100224,200.55,119.69,16.3349,119488.0,31.4,31.36,63.45,40.85,221.61,28.64,16.55,63.87,33.639,85.59,65.56
